"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"基本信息管理模块","部门管理模块","新增部门信息-数据驱动测试","4","0","3","0","0"
"登陆","多场景登陆测试","数据驱动登陆测试","1","0","6","0","0"
"基本信息管理模块","修改员工测试","修改员工(1439429426361139200)，数据驱动测试","1","0","4","0","0"
"基本信息管理模块","新增员工测试","员工新增数据驱动测试","3","0","7","0","0"
"基本信息管理模块","查询员工(1439429426361139200)测试","查询员工单接口测试","0","0","1","0","0"
"基本信息管理模块","部门管理模块","部门管理流程测试","0","0","1","0","0"
"基本信息管理模块","部门管理模块","查询部门所有信息单接口测试","0","0","1","0","0"
"基本信息管理模块","员工管理流程测试","员工增删改查流程测试","1","0","0","0","0"
"基本信息管理模块","部门管理模块","删除部门信息","0","0","1","0","0"
